EOS,sigma,Lambda1p4_GR,Lambda1p4_median,Lambda1p4_p5,Lambda1p4_p95,DeltaLambda1p4_median,DeltaLambda1p4_p5,DeltaLambda1p4_p95,mc_samples
SLy,0.050351758793969845,455.0502509224901,475.86970611982593,447.9026287844366,503.1685590160149,20.81945519733585,-7.147622138053489,48.11830809352484,1000
SLy,0.050653266331658287,455.0502509224901,476.16540604735593,447.77255095499635,503.4583945459624,21.115155124865858,-7.277699967493743,48.40814362347231,1000
SLy,0.05095477386934673,455.0502509224901,476.32855379707973,447.7106110227468,503.91346485445945,21.278302874589635,-7.33963989974332,48.86321393196934,1000
SLy,0.05125628140703517,455.0502509224901,476.28694809625006,447.54284242445317,503.75041214302604,21.23669717375995,-7.507408498036898,48.70016122053597,1000
SLy,0.05155778894472361,455.0502509224901,476.3935164293519,447.69929203220755,503.84599230420423,21.343265506861837,-7.350958890282503,48.795741381714166,1000
SLy,0.051859296482412054,455.0502509224901,476.7479255054871,447.71460901302106,504.5953253076686,21.697674582997003,-7.335641909469029,49.54507438517849,1000
SLy,0.052160804020100496,455.0502509224901,476.83457268184526,447.8931963280532,504.7503068907864,21.78432175935518,-7.157054594436881,49.70005596829637,1000
SLy,0.05246231155778894,455.0502509224901,476.95240314355544,448.1555722969121,504.6667063891354,21.902152221065364,-6.894678625577956,49.616455466645334,1000
SLy,0.05276381909547738,455.0502509224901,477.00068050103414,447.88419293271846,504.89178510909284,21.95042957854407,-7.166057989771632,49.84153418660275,1000
SLy,0.05306532663316582,455.0502509224901,477.007474191592,447.6180245475325,505.0751544899202,21.957223269101945,-7.432226374957547,50.02490356743011,1000
SLy,0.05336683417085426,455.0502509224901,477.02940194676205,447.6401773759713,505.08900972288166,21.97915102427197,-7.410073546518804,50.03875880039157,1000
SLy,0.053668341708542705,455.0502509224901,477.2381701270075,447.4278485773421,505.8994042220917,22.18791920451742,-7.622402345147997,50.8491532996016,1000
SLy,0.05396984924623115,455.0502509224901,476.9924355441147,447.646406050066,506.7611872616645,21.942184621624627,-7.403844872424112,51.710936339174374,1000
SLy,0.05427135678391959,455.0502509224901,477.0182462243853,447.6808163877667,507.50841223241696,21.967995301895215,-7.369434534723398,52.45816130992689,1000
SLy,0.05457286432160803,455.0502509224901,477.0006014218671,447.58889774692335,508.16763868528363,21.950350499377002,-7.461353175566739,53.11738776279357,1000
SLy,0.05487437185929648,455.0502509224901,477.2340045257305,447.42739392906043,508.7337792162237,22.18375360324039,-7.622856993429675,53.68352829373361,1000
SLy,0.05517587939698492,455.0502509224901,477.57996196926393,447.0908240533801,509.4124896328053,22.529711046773876,-7.959426869109938,54.36223871031525,1000
SLy,0.05547738693467336,455.0502509224901,477.71302757563205,446.6396259501441,510.46841016225665,22.662776653141982,-8.410624972346007,55.418159239766545,1000
SLy,0.055778894472361805,455.0502509224901,477.8084338364124,445.6229931636857,511.38433743947905,22.758182913922326,-9.427257758804377,56.334086516989,1000
